,ADJ,ADP,ADV,CARDINAL,CCONJ,DATE,DET,EVENT,FAC,GPE,INTJ,LAW,LOC,MONEY,NORP,NOUN,NUM,ORDINAL,ORG,PART,PERCENT,PERSON,PRODUCT,PRON,PROPN,PUNCT,QUANTITY,SPACE,SYM,TIME,VERB,WORK_OF_ART,X,url
0,54.0,48,7.0,7.0,20,9,32,,,11,2.0,3.0,,,2.0,119,12,1.0,58,9,,3,2.0,16.0,303,76,,163,3,2.0,66,2.0,16.0,www.rchc.us.html
1,39.0,46,9.0,1.0,20,3,27,,1.0,3,1.0,,1.0,,,97,10,,32,1,,5,2.0,2.0,175,70,1.0,105,10,,53,4.0,17.0,www.med.utah.edu.html
2,22.0,32,5.0,12.0,15,10,11,,,6,,,2.0,,,80,32,,55,7,,9,1.0,5.0,302,68,,108,9,,39,2.0,,www.tchospital.us.html
3,19.0,32,7.0,3.0,13,6,17,,2.0,3,2.0,1.0,,,,50,11,,17,4,,2,,8.0,121,32,,49,2,1.0,35,1.0,,www.mcmh.us.html
4,30.0,29,10.0,3.0,29,10,16,1.0,3.0,5,,,2.0,,,61,18,,40,9,,6,,4.0,387,51,,190,13,,33,4.0,,www.memorialhealth.us.html
5,54.0,59,23.0,20.0,35,3,25,,1.0,11,,,,1.0,,120,34,2.0,19,15,,3,,21.0,221,83,1.0,69,12,1.0,90,8.0,,www.thecenters.us.html
6,39.0,46,9.0,1.0,20,3,27,,1.0,3,1.0,,1.0,,,97,10,,32,1,,5,2.0,2.0,175,70,1.0,105,10,,53,4.0,17.0,www.uuhsc.utah.edu.html
7,13.0,32,4.0,,6,24,5,2.0,1.0,8,,,,,1.0,31,47,,38,6,,5,1.0,1.0,193,38,,72,6,1.0,25,1.0,,www.health.wvu.edu.html
8,,9,,,7,2,3,,1.0,2,,,,,,10,3,,24,1,,3,1.0,,106,15,,51,2,,3,,3.0,www.healthsystem.virginia.edu.html
9,26.0,50,3.0,9.0,31,5,6,,2.0,5,1.0,,,,,66,21,,36,3,,9,,3.0,229,41,2.0,117,6,,24,1.0,9.0,ww2.mc.vanderbilt.edu.html
10,64.0,53,9.0,10.0,27,7,32,,,5,,,,,1.0,109,20,1.0,43,14,,6,2.0,9.0,244,50,,125,4,,65,5.0,,www.hghospital.ws.html
11,28.0,53,5.0,2.0,23,9,13,,6.0,11,,,1.0,,,61,13,,54,9,,27,1.0,1.0,363,64,,161,3,2.0,33,8.0,10.0,www.einstein.yu.edu.html
12,46.0,44,15.0,14.0,18,4,26,,5.0,10,,1.0,1.0,,,105,34,,18,4,,2,1.0,2.0,139,70,2.0,48,5,4.0,60,,1.0,www.scmc.us.html
13,95.0,108,44.0,30.0,43,26,58,,8.0,41,1.0,4.0,13.0,1.0,4.0,265,88,4.0,106,18,1.0,61,3.0,29.0,781,206,1.0,345,11,14.0,151,5.0,1.0,www.mhcs.us.html
14,8.0,14,4.0,6.0,8,7,13,1.0,2.0,1,,2.0,,,,47,24,1.0,16,2,,6,,5.0,144,22,,74,7,1.0,17,1.0,,www.oahs.us.html
15,14.0,20,5.0,9.0,21,11,10,1.0,4.0,12,,,,2.0,,35,46,1.0,34,2,,1,,2.0,256,53,,107,3,8.0,26,1.0,,www.co.wood.wi.us.html
16,5.0,21,1.0,3.0,14,19,7,,3.0,3,,,,2.0,1.0,38,49,,44,2,,2,,3.0,313,36,,169,4,10.0,21,1.0,,www.grmc.us.html
17,26.0,50,3.0,9.0,31,5,6,,2.0,5,1.0,,,,,66,21,,36,3,,9,,3.0,229,41,2.0,117,6,,24,1.0,9.0,www.mc.vanderbilt.edu.html
18,71.0,82,14.0,30.0,41,48,40,1.0,4.0,11,1.0,,,1.0,,169,108,4.0,69,22,,5,3.0,8.0,392,87,,235,12,14.0,99,3.0,1.0,www.jchc.us.html
19,16.0,22,3.0,,9,1,4,,1.0,9,,,,,,46,1,,18,1,,1,,7.0,99,26,,61,1,,19,,,www.ych.us.html
20,23.0,39,10.0,2.0,13,2,21,,1.0,11,1.0,1.0,1.0,,,53,10,,18,6,,3,,22.0,94,31,,56,2,1.0,43,1.0,,www.wmhc.us.html
